"Sampl","Ind","Obs","S1","S2","Q1","Q2","Jack1ab","Jack1abP","Jack1in","Jack1inP","Jack2ab","Jack2abP","Jack2in","Jack2inP","Chao1","Chao1P","Chao2","Chao2P"
1,1.13,1.13,1.13,0,1.13,0,2.26,NA,1.13,NA,3.39,NA,3.39,NA,1.73,NA,1.73,NA
2,2.33,2,1.67,0.33,1.67,0.33,3.67,NA,2.835,NA,5.01,NA,2.835,NA,3.245,NA,3.245,NA
3,3.42,2.55,1.84,0.55,1.84,0.55,4.39,NA,3.77666666666667,NA,5.68,NA,4.29833333333333,NA,4.16,NA,4.16,NA
4,4.6,3.1,2.1,0.57,2.1,0.57,5.2,8.11839024943311,4.675,7.26816173469388,6.73,10.7807255102041,5.535,8.72242583144369,4.935,7.86730447845805,4.935,7.86730447845805
5,5.76,3.62,2.4,0.56,2.4,0.56,6.02,9.12237609126984,5.54,8.37293658730159,7.86,12.1325509637188,6.728,10.2895949078798,5.79416666666667,9.00617976190476,5.79416666666667,9.00617976190476
6,6.88,4.02,2.61,0.59,2.61,0.59,6.63,9.85489831349206,6.195,9.19105613425926,8.65,13.0556880952381,7.62033333333333,11.4292177612434,6.43333333333333,9.76668105631141,6.43333333333333,9.76668105631141
7,8.2,4.56,2.91,0.68,2.91,0.68,7.47,10.9130575538549,7.05428571428571,10.2915408284742,9.7,14.3840771683673,8.72809523809524,12.8755545368346,7.50833333333333,11.2661024990552,7.50833333333333,11.2661024990552
8,9.44,5.1,3.24,0.8,3.24,0.8,8.34,12.0926796501008,7.935,11.4934136422509,10.78,15.836246467939,9.85071428571429,14.4136488890182,8.46333333333333,12.600660851285,8.46333333333333,12.600660851285
9,10.79,5.59,3.53,0.85,3.53,0.85,9.12,13.1324380149282,8.72777777777778,12.5568562778198,11.8,17.208712611804,10.8948611111111,15.8346216206634,9.42916666666667,13.9670525242504,9.42916666666667,13.9670525242504
10,11.97,5.97,3.68,0.99,3.68,0.99,9.65,13.7747221054859,9.282,13.2380466481841,12.34,17.8678755927264,11.522,16.6257784233789,10.0525,14.748228611782,10.0525,14.748228611782
11,13.27,6.45,3.9,1.13,3.9,1.13,10.35,14.6368128882621,9.99545454545455,14.1239566857742,13.12,18.8366072781385,12.3542727272727,17.6781031369223,10.9733333333333,16.0002622112284,10.9733333333333,16.0002622112284
12,14.61,6.84,4.05,1.24,4.05,1.24,10.89,15.1912594315787,10.5525,14.7103853892406,13.7,19.3718391775542,12.9881060606061,18.3146494777113,11.3808333333333,16.3076660132871,11.3808333333333,16.3076660132871
13,15.67,7.12,4.21,1.24,4.21,1.24,11.33,15.7900431500248,11.0061538461538,15.3291813836837,14.3,20.1884299850963,13.6066666666667,19.1632072787505,12.1808333333333,17.4846242212753,12.1808333333333,17.4846242212753
14,16.88,7.46,4.37,1.28,4.37,1.28,11.83,16.3678684105369,11.5178571428571,15.927448695248,14.92,20.8875800348412,14.2508241758242,19.9100255417774,12.7483333333333,18.131001737681,12.7483333333333,18.131001737681
15,18,7.63,4.33,1.38,4.33,1.38,11.96,16.2944443754796,11.6713333333333,15.8931264813093,14.91,20.5655136960387,14.3134285714286,19.7029726933936,12.7973333333333,17.9009788251808,12.7973333333333,17.9009788251808
16,19.05,7.9,4.41,1.42,4.41,1.42,12.31,16.6158224811727,12.034375,16.2363768644083,15.3,20.9004508791281,14.7334583333333,20.0896392983853,12.9715,17.9424579060645,12.9715,17.9424579060645
17,20.24,8.18,4.59,1.41,4.59,1.41,12.77,17.2252525505709,12.5,16.8545526656317,15.95,21.7465286564368,15.3836397058824,20.9421099982763,13.8226666666667,19.1277975991648,13.8226666666667,19.1277975991648
18,21.49,8.35,4.53,1.52,4.53,1.52,12.88,17.0978220670445,12.6283333333333,16.7576882055233,15.89,21.3171374211617,15.3833660130719,20.6076989335367,13.421,18.2087190164343,13.421,18.2087190164343
19,22.71,8.58,4.51,1.7,4.51,1.7,13.09,17.1280843412349,12.8526315789474,16.8117857051915,15.9,21.0374093006068,15.4513450292398,20.4140060932046,13.3005,17.7931964254313,13.3005,17.7931964254313
20,23.92,8.8,4.53,1.78,4.53,1.78,13.33,17.2894579487319,13.1035,16.9901263017116,16.08,21.1020892133596,15.6628157894737,20.5244734666239,13.6181666666667,18.0927059943609,13.6181666666667,18.0927059943609
21,25,8.98,4.54,1.83,4.54,1.83,13.52,17.4552686870578,13.3038095238095,17.1702717760233,16.23,21.2275576242287,15.8385,20.6833909994077,13.907119047619,18.4054948698206,13.907119047619,18.4054948698206
22,26.15,9.15,4.54,1.89,4.54,1.89,13.69,17.5371639215812,13.4836363636364,17.2672251241689,16.34,21.1988308902803,15.9745454545455,20.6945841249071,13.9539523809524,18.3180214673784,13.9539523809524,18.3180214673784
23,27.32,9.3,4.51,2.03,4.51,2.03,13.81,17.5257466984102,13.6139130434783,17.2716446748011,16.29,20.9326049850846,15.9625098814229,20.4834149946165,13.5517857142857,17.5330008129666,13.5517857142857,17.5330008129666
24,28.59,9.53,4.57,2.07,4.57,2.07,14.1,17.76369322257,13.9095833333333,17.5192458713466,16.6,21.1417127050021,16.28375,20.7149517245043,13.5822857142857,17.3650641808131,13.5822857142857,17.3650641808131
25,29.75,9.74,4.69,2.01,4.69,2.01,14.43,18.2104247643637,14.2424,17.969129626381,17.11,21.8261559986411,16.78505,21.388240505169,14.2425238095238,18.3017492602256,14.2425238095238,18.3017492602256
26,31.04,9.96,4.73,2.02,4.73,2.02,14.69,18.3856863860071,14.5080769230769,18.154128452908,17.4,21.9777154092107,17.0842,21.5595144030912,14.5304523809524,18.5324708922365,14.5304523809524,18.5324708922365
27,32.28,10.13,4.77,2.02,4.77,2.02,14.9,18.6032328283454,14.7233333333333,18.3788049350429,17.65,22.2484241248368,17.3415669515669,21.8399636078155,14.9187380952381,19.0229846015691,14.9187380952381,19.0229846015691
28,33.52,10.27,4.72,2.07,4.72,2.07,14.99,18.5629518585684,14.8214285714286,18.3504442707442,17.64,22.0609639945917,17.3533333333333,21.6829333287968,15.0267380952381,19.0015836065154,15.0267380952381,19.0015836065154
29,34.68,10.48,4.84,2.04,4.84,2.04,15.32,18.9874347388873,15.1531034482759,18.7770024391463,18.12,22.6580486121142,17.8278325123153,22.275334956732,15.4305714285714,19.5561364151955,15.4305714285714,19.5561364151955
30,35.89,10.63,4.87,2.03,4.87,2.03,15.5,19.1502972942557,15.3376666666667,18.9462633492231,18.34,22.8598620275321,18.0536666666667,22.486133768437,15.6427380952381,19.7777006983617,15.6427380952381,19.7777006983617
31,36.94,10.79,4.93,2.04,4.93,2.04,15.72,19.3891136031119,15.5609677419355,19.1896952895243,18.61,23.1469873462409,18.3281290322581,22.7807155926283,15.8054047619048,19.8808309554167,15.8054047619048,19.8808309554167
32,38.25,10.95,4.93,2.13,4.93,2.13,15.88,19.4664767704493,15.7259375,19.2745989790567,18.68,23.0831557223319,18.4153528225806,22.7415483101366,15.8087380952381,19.7707061520357,15.8087380952381,19.7707061520357
33,39.38,11.07,4.91,2.17,4.91,2.17,15.98,19.4858513271038,15.8312121212121,19.3015034919226,18.72,23.0156239704121,18.4688541666667,22.6923172661742,15.9462380952381,19.851138408051,15.9462380952381,19.851138408051
34,40.64,11.19,4.89,2.18,4.89,2.18,16.08,19.4813834549944,15.9361764705882,19.3046164754278,18.79,22.9370228436393,18.5489393939394,22.6298368031826,15.7449047619048,19.3355549804807,15.7449047619048,19.3355549804807
35,42.07,11.31,4.75,2.29,4.75,2.29,16.06,19.1785685047595,15.9242857142857,19.0144145212623,18.52,22.2588289329406,18.307218487395,21.9925670063282,15.1857380952381,18.29607585049,15.1857380952381,18.29607585049
36,43.36,11.42,4.7,2.34,4.7,2.34,16.12,19.1330961136397,15.9894444444444,18.9761185717839,18.48,22.0746774790686,18.2814761904762,21.827395214377,15.0900714285714,18.0610464168772,15.0900714285714,18.0610464168772
37,44.65,11.55,4.74,2.29,4.74,2.29,16.29,19.3053463138114,16.1618918918919,19.1516323300828,18.74,22.3416511290693,18.5396321321321,22.0934739273947,15.3299523809524,18.3115537532886,15.3299523809524,18.3115537532886
38,45.92,11.72,4.78,2.35,4.78,2.35,16.5,19.5008414707432,16.3742105263158,19.350441986796,18.93,22.5024532754393,18.7364864864865,22.2635539305555,15.5395714285714,18.5154043467942,15.5395714285714,18.5154043467942
39,46.93,11.81,4.82,2.34,4.82,2.34,16.63,19.6784193806029,16.5064102564103,19.5303516685433,19.11,22.7577437610028,18.9176518218623,22.5190539528007,15.9339047619048,19.0430339363867,15.9339047619048,19.0430339363867
40,48.14,11.95,4.93,2.3,4.93,2.3,16.88,20.024844951909,16.75675,19.8768834011771,19.51,23.2838331100691,19.3112756410256,23.037704207264,16.2452380952381,19.4628755863313,16.2452380952381,19.4628755863313
41,49.34,12.08,4.97,2.26,4.97,2.26,17.05,20.2086733614039,16.9287804878049,20.0633060266712,19.76,23.5626292129792,19.5603292682927,23.3156287208685,16.5614523809524,19.81156703971,16.5614523809524,19.81156703971
