"Sampl","Ind","Obs","S1","S2","Q1","Q2","Jack1ab","Jack1abP","Jack1in","Jack1inP","Jack2ab","Jack2abP","Jack2in","Jack2inP","Chao1","Chao1P","Chao2","Chao2P"
1,0.79,0.79,0.79,0,0.79,0,1.58,NA,0.79,NA,2.37,NA,2.37,NA,1.32,NA,1.32,NA
2,1.6,1.49,1.38,0.11,1.38,0.11,2.87,NA,2.18,NA,4.14,NA,2.18,NA,2.61,NA,2.61,NA
3,2.44,2.22,2.03,0.16,2.03,0.16,4.25,NA,3.57333333333333,NA,6.12,NA,4.22333333333333,NA,4.07,NA,4.07,NA
4,3.36,2.81,2.33,0.42,2.33,0.42,5.14,NA,4.5575,NA,7.05,NA,5.5825,NA,5.06,NA,5.06,NA
5,4.25,3.36,2.64,0.56,2.64,0.56,6,NA,5.472,NA,8.08,NA,6.804,NA,6.01416666666667,NA,6.01416666666667,NA
6,5.27,4.03,3.04,0.77,3.04,0.77,7.07,11.6499494771983,6.56333333333333,10.7922660987234,9.34,15.7426372071051,8.17933333333333,13.6611795907869,7.14083333333333,12.1282162005543,7.14083333333333,12.1282162005543
7,6.27,4.61,3.37,0.89,3.37,0.89,7.98,12.8329026927438,7.49857142857143,12.0376750971817,10.46,17.1739604166667,9.37595238095238,15.2843276910566,8.395,14.0060755598073,8.395,14.0060755598073
8,7.16,5.06,3.57,1.05,3.57,1.05,8.63,13.5896119740489,8.18375,12.8655821042769,11.15,17.970457010582,10.18625,16.3024366589956,9.16333333333333,15.0252640951751,9.16333333333333,15.0252640951751
9,7.93,5.46,3.78,1.12,3.78,1.12,9.24,14.3827429154069,8.82,13.7086422916492,11.9,18.9501936555178,10.9977777777778,17.406884313346,10.0241666666667,16.3129935649723,10.0241666666667,16.3129935649723
10,8.85,5.9,3.97,1.24,3.97,1.24,9.87,15.0615009385236,9.473,14.4372143367347,12.6,19.6525137203956,11.7672222222222,18.2568559609893,10.5236666666667,16.7390604221781,10.5236666666667,16.7390604221781
11,9.78,6.29,4.07,1.4,4.07,1.4,10.36,15.2584682240489,9.99,14.7002001892508,13.03,19.510719834971,12.2890909090909,18.3338448795208,10.4298333333333,15.9348967752687,10.4298333333333,15.9348967752687
12,10.82,6.73,4.23,1.5,4.23,1.5,10.96,15.8964758519148,10.6075,15.3719074277473,13.69,20.2015819995591,12.9961363636364,19.1102318645998,11.1073333333333,16.6882005504903,11.1073333333333,16.6882005504903
13,11.64,6.97,4.23,1.56,4.23,1.56,11.2,15.9805390732464,10.8746153846154,15.5031742627502,13.87,20.1822880411125,13.2438461538462,19.1998075512935,11.6063333333333,17.1794925547097,11.6063333333333,17.1794925547097
14,12.68,7.29,4.27,1.63,4.27,1.63,11.56,16.0736276553933,11.255,15.6392235670417,14.2,20.049633405093,13.6253296703297,19.1860626593484,11.3136666666667,16.1640627357128,11.3136666666667,16.1640627357128
15,13.57,7.6,4.32,1.74,4.32,1.74,11.92,16.3157159496428,11.632,15.9121263245247,14.5,20.1603470262822,13.9757142857143,19.3809007476204,11.7725,16.4752891807043,11.7725,16.4752891807043
16,14.56,7.83,4.29,1.73,4.29,1.73,12.12,16.2586457288693,11.851875,15.8908842984845,14.68,19.9645709113918,14.1927916666667,19.2606338659037,11.8838333333333,16.2573284374703,11.8838333333333,16.2573284374703
17,15.61,8.14,4.33,1.82,4.33,1.82,12.47,16.4899735440235,12.2152941176471,16.1454579752256,14.98,20.0806668526639,14.5303676470588,19.4386839476063,12.1135,16.3591235681399,12.1135,16.3591235681399
18,16.42,8.32,4.35,1.76,4.35,1.76,12.67,16.6499905849101,12.4283333333333,16.3247217076179,15.26,20.3354813261194,14.8225816993464,19.7141434932706,12.4708333333333,16.7690407633128,12.4708333333333,16.7690407633128
19,17.46,8.64,4.4,1.82,4.4,1.82,13.04,16.9071493297909,12.8084210526316,16.6000228725518,15.62,20.5121968462149,15.2073099415205,19.9364573109575,12.6158333333333,16.7117807031042,12.6158333333333,16.7117807031042
20,18.27,8.81,4.37,1.91,4.37,1.91,13.18,16.903893559516,12.9615,16.617224110478,15.64,20.3151327691431,15.2659736842105,19.7973359672487,12.7278333333333,16.6456026285463,12.7278333333333,16.6456026285463
